"","id.exposure","id.outcome","outcome","exposure","egger_intercept","se","pval"
"1","GS2sTv","Br6NAz","GCST012879","GCST90277238",-0.017602302272433,0.0240114969935918,0.480342399941004
"2","gmocQk","8tm8lu","GCST012879","GCST90277239",-0.00450024798317261,0.0392818832884638,0.916028848920068
"3","D3tYvh","2F04G9","GCST012879","GCST90277240",0.0140251101575841,0.0118010971208685,0.248574104557759
"4","Aw0Bgc","HdxxSh","GCST012879","GCST90277241",-0.0393610230622416,0.0204798094819834,0.072606048941437
"5","W0ximH","eTUAa0","GCST012879","GCST90277242",-0.00708133598479208,0.0249463787998664,0.781354254694392
"6","asnVSa","jvBUeO","GCST012879","GCST90277243",-0.0337250269130108,0.0179216558326442,0.101895554309659
"7","aCOnzA","rA0iXU","GCST012879","GCST90277244",-0.00331622995354251,0.0227368724450096,0.885979798639879
"8","FrGmOD","92ekkz","GCST012879","GCST90277245",0.0094846759965717,0.014820314130617,0.530718247829129
"9","309VFt","0IzSjw","GCST012879","GCST90277246",0.0106679596550184,0.0162372940324803,0.523579740952141
"10","WECm9u","jvBUeO","GCST012879","GCST90277247",-0.0390291818115088,0.0209345268109793,0.0869104656644586
"11","q5gP3G","jvBUeO","GCST012879","GCST90277248",-0.00640785679876038,0.0152068671906193,0.679084663903153
"12","nbQHIF","eTUAa0","GCST012879","GCST90277249",-0.00860003113347376,0.0142662180306558,0.554145124697241
"13","KsN3wf","bQtTCU","GCST012879","GCST90277250",0.00349474054098436,0.011811542164633,0.770909207375484
"14","NM5Ymx","0IzSjw","GCST012879","GCST90277251",0.00611270041915058,0.0412466269663625,0.884299237886302
"15","C44iX7","d8pIgX","GCST012879","GCST90277252",-0.00656524476843147,0.0190798925561993,0.73627895862011
"16","zUvvuF","0Lfo1A","GCST012879","GCST90277253",0.00358745646932533,0.0140178630303735,0.801273470977186
"17","pUtC32","eTUAa0","GCST012879","GCST90277254",-0.0227399054325609,0.0273989021074698,0.422767474066889
"18","e6wxaN","jvBUeO","GCST012879","GCST90277255",0.00364788293630554,0.0164817113916395,0.828557614391946
"19","o5dHP6","jvBUeO","GCST012879","GCST90277256",-0.00199230005569997,0.0153559377496911,0.898005764153028
"20","umulca","fvqlRI","GCST012879","GCST90277257",-0.0113306176746533,0.0186945462110373,0.552955872695317
"21","P8LXeu","eTUAa0","GCST012879","GCST90277258",-0.00892821976952311,0.0295641640246731,0.772850400713556
"22","cAIiey","gmTfhF","GCST012879","GCST90277259",-0.0163478794718602,0.0159782444175324,0.322462980388581
"23","ttad1g","92ekkz","GCST012879","GCST90277260",0.00842656041381852,0.0230067332079643,0.72111440951211
"24","KV7BdP","IoEPey","GCST012879","GCST90277261",-0.00160233141514958,0.0151101143837068,0.916789016026464
"25","i0rose","0IzSjw","GCST012879","GCST90277262",-0.00886124312830218,0.0139688309699074,0.532697375158619
"26","W4MeMk","fvqlRI","GCST012879","GCST90277263",-0.0251835228385599,0.0213191195364147,0.260380025490182
"27","x2Q8VF","jvBUeO","GCST012879","GCST90277264",-0.0171651811100594,0.01715271755517,0.336711692861646
"28","vp9BTH","jvBUeO","GCST012879","GCST90277265",-0.00643250096269831,0.0176913331894723,0.72200413268502
"29","m958aS","0Lfo1A","GCST012879","GCST90277266",-0.0181170805837748,0.031760856828976,0.584052943598925
"30","Zt77Ns","GSatlJ","GCST012879","GCST90277267",0.0101262596769111,0.0272686889734007,0.718122829358232
"31","NYdqdr","8tm8lu","GCST012879","GCST90277268",-0.0184335841724669,0.0171010388964603,0.306383432151405
"32","KsN3wf","8tm8lu","GCST012879","GCST90277250",0.00349474054098436,0.011811542164633,0.770909207375484
"33","RTvsF8","0IzSjw","GCST012879","GCST90277288",-0.0173295613291639,0.0134512054089022,0.226641716968747
"34","VDGwEH","8tm8lu","GCST012879","GCST90277298",-0.0120991885152113,0.00892734915195772,0.188485225093316
"35","u5hqzI","qdac6V","GCST012879","GCST90277305",-0.0233751079750911,0.0110591208395543,0.0582074654909814
"36","NyaOUZ","IoEPey","GCST012879","GCST90277311",0.0152971278113331,0.0131745263942327,0.266472764154481
"37","mXzmYb","0Lfo1A","GCST012879","GCST90277330",0.0087772415604444,0.0137061274159924,0.537880949322811
"38","qzc7HT","Tnn3eu","GCST012879","GCST90277336",-0.0164297996393173,0.0185016777144263,0.397642798445436
