"","RSSobs","Pvalue"
"2",0.00034192563194875,"1"
"3",0.00101786467014742,"1"
"4",0.00694116011634187,"1"
"5",0.000323559471733699,"1"
"6",6.22904688010598e-05,"1"
"7",0.000731975022018395,"1"
"8",0.0193845456093161,"0.736"
"9",0.0106708515895776,"1"
"11",0.0036985934826342,"0.023"
"12",0.000862301928107229,"1"
"13",0.000418589947587691,"1"
"14",0.000147147228406133,"1"
"15",5.91223050548701e-05,"1"
"16",1.31285343895262e-05,"1"
"17",0.000254094477689974,"1"
"18",0.00176337278021706,"0.92"
"19",0.00201829235871134,"1"
"20",0.00240271992063883,"1"
"21",0.00166673796902886,"1"
"22",0.00783545845313648,"1"
"23",0.000131605380439653,"1"
"24",0.00137987103430204,"1"
"25",7.4134026541594e-06,"1"
